Title:,"Time Series, Area-Averaged of Methane, Mole Fraction in Air (Daytime/Ascending) monthly 1 (monthly)"
User Start Date:,2002-09-01T00:00:00Z
User End Date:,2023-11-30T23:59:59Z
User Bounding Box:,"-180,0,180,90"
Data Bounding Box:,"-179.5,0.5,179.5,89.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-09-01T00:00:00Z&endtime=2023-11-30T23:59:59Z&bbox=-180,0,180,90&data=AIRX3STM_006_CH4_VMR_A(z%3D500)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_CH4_VMR_A):, -9999

time, mean_AIRX3STM_006_CH4_VMR_A
2002-09-01 00:00:00,1808.91481
2002-10-01 00:00:00,1807.78358
2002-11-01 00:00:00,1803.85456
2002-12-01 00:00:00,1802.68791
2003-01-01 00:00:00,1796.24204
2003-02-01 00:00:00,1790.80727
2003-03-01 00:00:00,1787.94025
2003-04-01 00:00:00,1782.34998
2003-05-01 00:00:00,1781.15122
2003-06-01 00:00:00,1786.00939
2003-07-01 00:00:00,1796.70261
2003-08-01 00:00:00,1806.45146
2003-09-01 00:00:00,1808.99099
2003-10-01 00:00:00,1807.10367
2003-11-01 00:00:00,1807.89378
2003-12-01 00:00:00,1806.09714
2004-01-01 00:00:00,1803.28666
2004-02-01 00:00:00,1795.37334
2004-03-01 00:00:00,1791.5998
2004-04-01 00:00:00,1789.26992
2004-05-01 00:00:00,1787.30425
2004-06-01 00:00:00,1792.47756
2004-07-01 00:00:00,1805.12811
2004-08-01 00:00:00,1812.11471
2004-09-01 00:00:00,1814.04014
2004-10-01 00:00:00,1810.68595
2004-11-01 00:00:00,1807.79193
2004-12-01 00:00:00,1804.89584
2005-01-01 00:00:00,1801.66844
2005-02-01 00:00:00,1800.49415
2005-03-01 00:00:00,1797.76812
2005-04-01 00:00:00,1788.95115
2005-05-01 00:00:00,1788.53156
2005-06-01 00:00:00,1792.65574
2005-07-01 00:00:00,1802.49371
2005-08-01 00:00:00,1809.65463
2005-09-01 00:00:00,1812.32674
2005-10-01 00:00:00,1809.51305
2005-11-01 00:00:00,1807.80065
2005-12-01 00:00:00,1805.66981
2006-01-01 00:00:00,1801.54791
2006-02-01 00:00:00,1795.60494
2006-03-01 00:00:00,1794.76836
2006-04-01 00:00:00,1791.73586
2006-05-01 00:00:00,1791.07211
2006-06-01 00:00:00,1795.55671
2006-07-01 00:00:00,1806.9997
2006-08-01 00:00:00,1814.38587
2006-09-01 00:00:00,1816.06883
2006-10-01 00:00:00,1813.69541
2006-11-01 00:00:00,1811.08637
2006-12-01 00:00:00,1811.75857
2007-01-01 00:00:00,1806.46082
2007-02-01 00:00:00,1804.61567
2007-03-01 00:00:00,1799.71002
2007-04-01 00:00:00,1796.01734
2007-05-01 00:00:00,1794.7155
2007-06-01 00:00:00,1799.43031
2007-07-01 00:00:00,1809.62565
2007-08-01 00:00:00,1817.01128
2007-09-01 00:00:00,1819.72971
2007-10-01 00:00:00,1817.57382
2007-11-01 00:00:00,1816.55988
2007-12-01 00:00:00,1815.74305
2008-01-01 00:00:00,1813.24057
2008-02-01 00:00:00,1809.52809
2008-03-01 00:00:00,1807.26875
2008-04-01 00:00:00,1802.87516
2008-05-01 00:00:00,1802.6007
2008-06-01 00:00:00,1808.28764
2008-07-01 00:00:00,1818.0943
2008-08-01 00:00:00,1828.678
2008-09-01 00:00:00,1833.15916
2008-10-01 00:00:00,1831.36925
2008-11-01 00:00:00,1827.60929
2008-12-01 00:00:00,1824.09437
2009-01-01 00:00:00,1823.18717
2009-02-01 00:00:00,1816.35031
2009-03-01 00:00:00,1815.57517
2009-04-01 00:00:00,1812.85527
2009-05-01 00:00:00,1811.72742
2009-06-01 00:00:00,1814.42406
2009-07-01 00:00:00,1823.38989
2009-08-01 00:00:00,1832.52923
2009-09-01 00:00:00,1833.88702
2009-10-01 00:00:00,1832.74679
2009-11-01 00:00:00,1830.31425
2009-12-01 00:00:00,1826.81412
2010-01-01 00:00:00,1822.99443
2010-02-01 00:00:00,1818.29962
2010-03-01 00:00:00,1814.40143
2010-04-01 00:00:00,1810.18859
2010-05-01 00:00:00,1807.9757
2010-06-01 00:00:00,1810.68243
2010-07-01 00:00:00,1819.38235
2010-08-01 00:00:00,1827.37737
2010-09-01 00:00:00,1831.09066
2010-10-01 00:00:00,1830.81825
2010-11-01 00:00:00,1829.52677
2010-12-01 00:00:00,1826.84328
2011-01-01 00:00:00,1825.46068
2011-02-01 00:00:00,1820.91995
2011-03-01 00:00:00,1819.88631
2011-04-01 00:00:00,1815.40317
2011-05-01 00:00:00,1810.78974
2011-06-01 00:00:00,1816.60439
2011-07-01 00:00:00,1827.57142
2011-08-01 00:00:00,1837.30648
2011-09-01 00:00:00,1840.33172
2011-10-01 00:00:00,1839.84853
2011-11-01 00:00:00,1837.94196
2011-12-01 00:00:00,1836.46724
2012-01-01 00:00:00,1836.66898
2012-02-01 00:00:00,1831.05617
2012-03-01 00:00:00,1827.43707
2012-04-01 00:00:00,1823.35182
2012-05-01 00:00:00,1820.71448
2012-06-01 00:00:00,1824.0461
2012-07-01 00:00:00,1832.87386
2012-08-01 00:00:00,1839.77676
2012-09-01 00:00:00,1842.40778
2012-10-01 00:00:00,1842.36647
2012-11-01 00:00:00,1840.72796
2012-12-01 00:00:00,1839.64593
2013-01-01 00:00:00,1836.71469
2013-02-01 00:00:00,1831.85561
2013-03-01 00:00:00,1828.45431
2013-04-01 00:00:00,1826.91632
2013-05-01 00:00:00,1821.39222
2013-06-01 00:00:00,1823.46896
2013-07-01 00:00:00,1834.10147
2013-08-01 00:00:00,1844.44902
2013-09-01 00:00:00,1847.76533
2013-10-01 00:00:00,1846.11817
2013-11-01 00:00:00,1843.73081
2013-12-01 00:00:00,1841.16558
2014-01-01 00:00:00,1836.93226
2014-02-01 00:00:00,1835.86601
2014-03-01 00:00:00,1835.26621
2014-04-01 00:00:00,1830.32875
2014-05-01 00:00:00,1824.10775
2014-06-01 00:00:00,1827.09917
2014-07-01 00:00:00,1837.10147
2014-08-01 00:00:00,1848.34202
2014-09-01 00:00:00,1852.06939
2014-10-01 00:00:00,1851.26293
2014-11-01 00:00:00,1850.18666
2014-12-01 00:00:00,1847.16269
2015-01-01 00:00:00,1842.83182
2015-02-01 00:00:00,1838.58239
2015-03-01 00:00:00,1837.75378
2015-04-01 00:00:00,1835.68518
2015-05-01 00:00:00,1830.49207
2015-06-01 00:00:00,1833.73296
2015-07-01 00:00:00,1844.54928
2015-08-01 00:00:00,1853.32351
2015-09-01 00:00:00,1856.79802
2015-10-01 00:00:00,1855.54589
2015-11-01 00:00:00,1854.86847
2015-12-01 00:00:00,1852.78085
2016-01-01 00:00:00,1850.51004
2016-02-01 00:00:00,1847.02025
2016-03-01 00:00:00,1846.0855
2016-04-01 00:00:00,1839.2309
2016-05-01 00:00:00,1835.36705
2016-06-01 00:00:00,1837.5781
2016-07-01 00:00:00,1846.48918
2016-08-01 00:00:00,1855.95269
2016-09-01 00:00:00,1860.5695
